TICKER,CNAME,PERMNO,IssuerNm,SCORE
COR,CRYSTAL OIL,31069,CRYSTAL OIL CO,0
CORC,CORCOM INC,27239,CORCOM INC,0
CORD,CORDIS CP,27255,CORDIS CORP,0
CORE,CORESITE REALTY,12093,CORESITE REALTY CORP,0
CORH,CORCEPT,90125,CORCEPT THERAPEUTICS INC,0
CORI,CORILLIAN CORP,88153,CORILLIAN CORP,0
CORR,COR THERAPEUTICS,76716,COR THERAPEUTICS INC,0
CORT,CORT BUS SVCS,82565,CORT BUSINESS SERVICES CORP,1
CORV,BROADWING,88430,BROADWING CORP,0
CORX,RESPIRERX PHARMS,75962,CORTEX PHARMACEUTICALS INC,1
COS,COPPERWELD,21258,COPPERWELD STEEL CO,0
COSE,COSTILLA ENERGY,84065,COSTILLA ENERGY INC,0
COSF,COSMETIC & FRAG,10394,COSMETIC & FRAGRANCE CONC INC,0
COSF,COSMETIC CENTER,84724,COSMETIC CENTER INC,0
COSF,COSMETIC CENTER,77410,COSMETIC CENTER INC,2
COSH,COOPER STAND,14185,COOPER STANDARD HOLDINGS INC,0
COSI,INFOCROSSING INC,78818,INFOCROSSING INC,0
COSN,COSINE COMM,88622,COSINE COMMUNICATIONS INC,0
COSS,COSI,89567,COSI INC,0
COST,COASTAL CONTACTS,13639,COASTAL CONTACTS INC,0
COT,COLT INDS,11332,COLT INDUSTRIES INC DE,2
COT3,COLTEC INDS INC,77473,COLTEC INDUSTRIES INC,0
COTL,COTELLIGENT INC,83122,COTELLIGENT GROUP INC,0
COTN,DELTA & PINE LND,79255,DELTA & PINE LAND CO,0
COTV,REGENETP,90539,POLARITYTE INC,1
COTY,COTY,13983,COTY INC,0
COU,COURTAULDS,30947,COURTAULDS LTD,0
COUR,COEUR MINING,24441,COEUR D ALENE MINES CORP ID,1
COUS,COUSINS PROPTS,27511,COUSINS PROPERTIES INC,0
COV,COVIDIEN,92156,COVIDIEN PLC,0
COVD,COVAD COMMUN GRP,86569,COVAD COMMUNICATIONS GROUP INC,0
COVF,CORVUS GOLD,19643,CORVUS GOLD INC,0
COVR,COVER-ALL TECH,81510,COVER ALL TECHNOLOGIES INC,0
COVS,COVISINT CORP,14150,COVISINT CORP,0
COWN,COWEN GROUP,91398,COWEN GROUP INC,0
COWN,COWEN,93128,COWEN GROUP INC NEW,0
COX,COX COMMUNICATNS,40854,COX COMMUNICATION INC,2
COX1,COX COMMUNICATNS,81188,COX COMMUNICATIONS INC NEW,0
COXD,ARMCO METALS,93239,ARMCO METALS HOLDINGS INC,0
COY,CORPORATE HIGH Y,79446,BLACKROCK CORP HIGH YLD FD INC,1
COYA,COYA,23615,COYA THERAPEUTICS INC,0
COYN,COPSYNC INC,15834,COPSYNC INC,0
CP,CP,89125,CANADIAN PACIFIC KANSAS CITY LTD,1
CPA,CARLISLE PLASTIC,76637,CARLISLE PLASTICS INC,0
CPAC,CHICAGO PACIFIC,23246,CHICAGO PACIFIC CORP,0
CPAK,CPAC INC,20299,C P A C INC,0
CPAP,CENTURY PAPERS,22315,CENTURY PAPERS INC,0
CPAZ,CTOS PACASMAYO,13206,CEMENTOS PACASMAYO S A A,0
CPB,CAMPBELL'S CO,25320,CAMPBELL SOUP CO,0
CPBC,TWO RIVERS US,91171,TWO RIVER BANCORP,0
CPBI,CENTRAL PAC FIN,11628,CENTRAL PACIFIC FINANCIAL CORP,0
CPBR,CLEARPOINT BUSIN,91817,CLEARPOINT BUSINESS RES INC,0
CPC,BESTFOODS INTL,10989,BESTFOODS,0
CPC2,COMP PETROLEUM,76905,COMPUTER PETROLEUM CORP,0
CPCI,CIPRICO INC,23537,CIPRICO INC,0
CPCL,CLARE INC,81692,CLARE INC,0
CPCO,CENT PACIFIC CP,22155,CENTRAL PACIFIC CORP CA,0
CPE,COLORADO PRIME,75048,COLORADO PRIME CORP,0
CPER,CONS PAPERS,26586,CONSOLIDATED PAPERS INC,1
CPEX,CPEX PHARMA,92717,C P E X PHARMACEUTICALS INC,0
CPFL,CPFL ENERGIA,90338,C P F L ENERGIA S A,0
CPG,COLON PENN GROUP,55482,COLONIAL PENN GROUP INC,0
CPG1,CONSUMERS GAS GP,81770,C M S ENERGY CORP,1
