TICKER,CNAME,PERMNO,IssuerNm,SCORE
LEDS,SEMILEDS,12488,SEMILEDS CORP,0
LEE,LEE ENTERPRISES,50286,LEE ENTERPRISES INC,0
LEG,LEGGETT & PLATT,60943,LEGGETT & PLATT INC,0
LEG2,CO-COUNSEL,79842,CO COUNSEL INC,0
LEGC,LEGACY BANCORP,90953,LEGACY BANCORP INC,0
LEGH,LEGACY HOUSING,18311,LEGACY HOUSING CORP,0
LEGL,PRE PAID LEGAL S,63811,PRE PAID LEGAL SERVICES INC,0
LEGN,LEGEND BIOTECH,19478,LEGEND BIOTECH CORP,0
LEH,LEHIGH GP INC,17443,LEHIGH GROUP INC,0
LEHM,LEHMAN BRO HLDG,80599,LEHMAN BROTHERS HOLDINGS INC,1
LEIX,LOWRANCE ELECTRS,10984,LOWRANCE ELECTRONICS INC,0
LEJU,LEJU HOLDINGS,14572,LEJU HOLDINGS LTD,0
LEM,SALOMON BROS FD,18761,SALOMON BROTHERS FUND INC,0
LEN,LENNAR,52708,LENNAR CORP,0
LEN/1,LENNAR,89731,LENNAR CORP,0
LEND,ACCREDITED HOME,89684,ACCREDITED HOME LENDERS HLDG CO,0
LENF,LAW ENFORCEMENT,90788,LAW ENFORCEMENT ASSOCIATES CORP,0
LENS,CONCORD CAMERA C,11998,CONCORD CAMERA CORP,0
LEON,2INVEST,88538,LION BIOSCIENCE AKTIENGESELLSCHA,1
LEPG,LEP GROUP,12207,LEP GROUP PLC,0
LEPT,KE JU HOLDING,93273,CHINA GENGSHENG MINERALS INC,1
LES,LESLIE FAY COS,70113,LESLIE FAY COS INC,0
LESL,LESLIES POOLMART,76621,LESLIES POOLMART,0
LEV,LEVITZ FURN,47335,LEVITZ FURNITURE CORP,2
LEV1,GULFTERRA ENERGY,86308,GULFTERRA ENERGY PARTNERS L P,0
LEVB,CBDMD,17091,CBDMD INC,0
LEVC,WOODBRIDGE HOLDI,89961,WOODBRIDGE HOLDINGS CORP,0
LEVL,LEVEL 1 COMMUNIC,79503,LEVEL ONE COMMUNICATIONS INC,0
LEXAV,LIBERTY EXPEDIA,16429,LIBERTY EXPEDIA HOLDINGS INC,0
LEXB,LEXINGTON SVGS B,10931,LEXINGTON SAVINGS BANK,0
LEXD,LEXIDATA CORP,49307,LEXIDATA CORP,0
LEXG,LEXICON PHARM,88173,LEXICON PHARMACEUTICALS INC,0
LEXI,FLORIDA GAMING,49286,FLORIDA GAMING CORP,0
LEXR,LEXAR MEDIA,88539,LEXAR MEDIA INC,0
LEYS,LANDS' END,14544,LANDS END INC,0
LEYS,LANDS END INC,75232,LANDS END INC,0
LF,LEAPFROG,89471,LEAPFROG ENTERPRISES INC,0
LFB,LEV FD BOSTON,45559,LEVERAGE FUND BOSTON INC,1
LFBI,LITTLE FALLS BAN,82826,LITTLE FALLS BANCORP INC,0
LFBK,LINCOLN 1ST BKS,49657,LINCOLN 1ST BKS INC,0
LFBR,LONGVIEW FIBRE,50092,LONGVIEW FIBRE CO,0
LFCI,CHINA LIFE INSUR,89949,CHINA LIFE INSURANCE CO LTD,0
LFCO,PPBI,85020,PACIFIC PREMIER BANCORP INC,1
LFCP,LAFARGE,89064,LAFARGE S A,0
LFCT,LEADER FINANCIAL,79604,LEADER FINANCIAL CORP,0
LFE,LFE CORP,28337,L F E CORP,0
LFED,LEEDS FED BANK,80546,LEEDS FEDERAL BANKSHARES INC,0
LFI,LEVITZ FURN,79437,LEVITZ FURNITURE INC,0
LFII,GALAXIWORLD.COM,80639,G L C LTD,1
LFIN,LINCOLN FINL IND,49649,LINCOLN FINANCIAL CORP,1
LFKN,LUFKIN INDS INC,76489,LUFKIN INDUSTRIES INC,0
LFL,LATAM AIRLINES,25310,LATAM AIRLINES GROUP S A,0
LFL,LATAM AIRLINES,85616,LATAM AIRLINES GROUP S A,0
LFLT,LIFEVANTAGE,13599,LIFEVANTAGE CORP,0
LFMN,LIFEMINDERS INC,87396,LIFEMINDERS INC,0
LFP,LIFEPOINT,87839,LIFEPOINT INC,0
LFS,LIBERTY FINL GRO,67635,LIBERTY FINANCIAL GROUP INC,2
LFSA,1ST FSLA LENAWEE,11619,FIRST FEDERAL S & L ASSN LENAWEE,1
LFSB,LFS BANCORP INC,80456,L F S BANCORP INC,0
LFSC,LIFE SCIENCES IN,49526,LIFE SCIENCES INC,2
LFST,LIFESTANCE HLTH,21348,LIFESTANCE HEALTH GROUP INC,0
LFT,LONGTOP FINANCIA,92338,LONGTOP FINANCIAL TECHNOLOGIES,0
LFTM,AMRESCO INC,49614,AMRESCO INC,0
LFUS,LITTELFUSE,77918,LITTELFUSE INC,0
LG,SPIRE INC,12781,SPIRE INC,0
LGAM,LEXINGTON GLOBAL,82718,LEXINGTON GLOBAL ASSET MGRS INC,0
LGBT,PLANETOUT,90413,PLANETOUT INC,0
LGCY,LEGACY RESERVS,91739,LEGACY RESERVES INC,0
LGE,LIONS GATE ENT,86408,LIONS GATE ENTERTAINMENT CORP,0
LGE/1,LIONS GATE ENT,16495,LIONS GATE ENTERTAINMENT CORP,0
LGFB,LGF BANCORP,77686,L G F BANCORP INC,0
LGI,LAZARD GTRIF,90114,LAZARD GLOB TOT RET & INC FD INC,1
LGIH,LGI HOMES,14317,L G I HOMES INC,0
LGL,LGL GROUP,33849,L G L GROUP INC,0
LGLH,DOLPHIN,17140,DOLPHIN ENTERTAINMENT INC,0
LGN,LOGICON INC,59360,LOGICON INC,0
LGND,LIGAND PHARMA,78081,LIGAND PHARMACEUTICALS INC,0
LGNS,LEGGOONS INC,79843,LEGGOONS INC,0
LGO,LARGO INC,21074,LARGO RESOURCES LTD,6
LGPL,CROSSAMERICA,13615,CROSSAMERICA PARTNERS LP,0
LGS,LA GEN SVCS,33806,LOUISIANA GENERAL SERVICES INC,1
LGTO,LEGATO SYSTEMS,81877,LEGATO SYSTEMS INC,0
LGTY,LOGILITY INC.,85477,LOGILITY INC,0
LGVN,LOGICVISION,89172,LOGICVISION INC,0
LGWX,LOGIC WORKS INC,82505,LOGIC WORKS INC,0
LHC,LNH REIT INC,64274,L N H REIT INC,0
LHCG,LHC GROUP,90734,L H C GROUP,0
LHDX,LUCIRA HEALTH,20610,LUCIRA HEALTH INC,0
LHMS,LOEHMANN'S HOLDI,89450,LOEHMANNS HOLDINGS INC,0
LHO,LASALLE HOTEL,85947,LASALLE HOTEL PROPERTIES,0
LHP,EEP,86106,ENBRIDGE ENERGY PARTNERS LP,1
LHSG,LHS GROUP INC.,84817,L H S GROUP INC,0
LHSP,LERNOUT & HAUSPI,82719,LERNOUT & HAUSPIE SPCH PRODS NV,0
LI,LEOS INDS INC,10125,LEOS INDUSTRIES INC,0
LI13,LITTLEFIELD,81145,LITTLEFIELD CORP,0
LIAN,LIANBIO,22319,LIANBIO,0
LIBB,LIBERTY BANCORP,86277,LIBERTY BANCORP INC NJ,0
LIBH,LIBERTY HOMES,49358,LIBERTY HOMES INC,0
LIBH,LIBERTY HOMES,89587,LIBERTY HOMES INC,0
LIBH,LIBERTY HOMES,89595,LIBERTY HOMES INC,0
LIBN,LIBERTY BCP INC,16855,LIBERTY BANCORP INC OKLA,0
LIBT,LIBERTY TECH,78978,LIBERTY TECHNOLOGIES INC,0
LIC,LYNCH,87211,LYNCH INTERACTIVE CORP,0
LICB,LONG ISLAND FINA,85736,LONG ISLAND FINANCIAL CORP,0
LICI,LILLY INDS INC,49585,LILLY INDUSTRIES INC,0
LICN,LINCOLN EDU SERV,90735,LINCOLN EDUCATIONAL SVCS CORP,1
LICY,LI-CYCLE HLDG,21809,LI CYCLE HOLDINGS CORP,0
LIDA,LIDA INC DEL,77577,LIDA INC,0
LIDR,AEYE,20419,AEYE INC,0
LIEB,LIEBERT CORP,49411,LIEBERT CORP,0
LIEL,LINCOLN ELECTRIC,81678,LINCOLN ELECTRIC HOLDINGS INC,0
LIEN,LINN ENERGY,91081,LINN ENERGY LLC,0
LIF,LIFE360,25228,LIFE360 INC,0
LIFB,LIFE BANCORP INC,80989,LIFE BANCORP INC,0
LIFC,LIFECELL CORP,77362,LIFECELL CORP,0
LIFE,LIFELINE SYSTEMS,49534,LIFELINE SYSTEMS INC,0
LIFE,LIFE IMAGING CP,49462,LIFE IMAGING CORP,2
LIFI,LIFE OF INDIANA,75520,LIFE OF INDIANA CORP,0
LIFS,MERRIMACK BCP MA,10263,MERRIMACK BANCORP INC MA,0
LIFT,AVIATION GROUP,16054,AVIATION GROUP INC,0
LIG,VECTOR GROUP,75233,VECTOR GROUP LTD,0
LIHR,LIHIR GOLD,82506,LIHIR GOLD LTD,0
LII,LARIZZA IND,75173,LARIZZA INDUSTRIES INC,0
LII1,LII,87034,LENNOX INTERNATIONAL INC,1
LIII,LOCAL BOUNTI,20999,LOCAL BOUNTI CORP,0
LIL,LONG ISL LTG,24360,LONG ISLAND LTG CO,0
LILA,LIBERTY LATIN,17131,LIBERTY LATIN AMERICA LTD,0
LILA/1,LIBERTY LATIN,17130,LIBERTY LATIN AMERICA LTD,0
LILM,CREATD,19823,CREATD INC,0
LILY,LILY TULIP INC,49593,LILY TULIP INC,0
LIMC,LIMCO-PIEDMONT I,92202,LIMCO PIEDMONT INC,0
LIMS,STARLIMS TECH,92045,STARLIMS TECHNOLOGIES LTD,0
LIN,LINENS 'N THINGS,84169,LINENS N THINGS INC,0
LINA,LINCOLN NAT CAP,49015,LINCOLN NATIONAL CORP,5
LINB,LIN BROADCASTING,49606,LIN BROADCASTING CORP,0
LINC,LINCOLN LIFE INS,49665,LINCOLN INCOME LIFE INS CO,1
LIND,LINDBERG CP,49745,LINDBERG CORP,0
LINE,LINEAR CORP,49753,LINEAR CORP,0
LINK,INTRLINK ELEC,79280,INTERLINK ELECTRONICS INC,0
LINN,LINCOLN FOODSVCS,10344,LINCOLN FOODSERVICE PRODS INC,0
LINT,QVC GROUP,91277,QURATE RETAIL GROUP INC,1
LINV,LIFE INVESTORS,49510,LIFE INVESTORS INC,0
LINX,LINX,18756,LINX S A,0
LINZ,LINDSAY CORP,12211,LINDSAY MANUFACTURING CO,1
LIO,LIONEL CP,24731,LIONEL CORP,0
LION,FIDELITY SOUTHER,80990,FIDELITY SOUTHERN CORP NEW,0
LIOX,LIONBRIDGE TECH.,87172,LIONBRIDGE TECHNOLOGIES,0
LIPO,LIPOSOME CO INC,10513,LIPOSOME COMPANY INC,0
LIQB,LIQUI BOX CORP,49817,LIQUI BOX CORP,0
LIQD,LIQUID HOLDINGS,14053,LIQUID HOLDINGS GROUP INC,0
LIQT,LIQTECH,14339,LIQTECH INTERNATIONAL INC,0
LISB,LONG ISLAND BANC,80457,LONG ISLAND BANCORP INC,0
LIT,LITTON INDS,26294,LITTON INDUSTRIES INC,0
LITB,LIGHTINTHEBOX,13999,LIGHTINTHEBOX HOLDING CO LTD,0
LITE,VLPS LIGHTING SE,85478,V L P S LIGHTING SVCS INTL INC,0
LITEV,LUMENTUM HLDG,15490,LUMENTUM HOLDINGS INC,0
LITM,SNOW LAKE RES,22320,SNOW LAKE RESOURCES LTD,0
LIVX,LIVEONE,17323,LIVEONE INC,0
LIWA,LIHUA,93044,LIHUA INTERNATIONAL INC,0
LIXT,LIXTE,20154,LIXTE BIOTECHNOLOGY HOLDINGS INC,0
LIZC,KATE SPADE & CO,49905,KATE SPADE & CO,0
LIZI,SOUND GROUP,19195,LIZHI INC,1
LJC,LA JOLLA BCP CA,69497,LA JOLLA BANCORP,1
LJLB,LJL BIOSYSTEMS,85881,LJL BIOSYSTEMS INC,0
LJPC,LA JOLLA PHARM,80640,LA JOLLA PHARMACEUTICAL CO,0
LJSI,L.J. SIMONE INC,11380,L J SIMONE INC,0
LK,LOCKHEED,21178,LOCKHEED MARTIN CORP,0
LKAI,LKA GOLD INC,12203,L K A INTERNATIONAL INC,3
LKFN,LAKELAND FIN,85299,LAKELAND FINANCIAL CORP,0
LKI,LAZARE KAPLAN,61145,LAZARE KAPLAN INTL INC,0
LKM,GLOBAL SELF STRG,15912,GLOBAL SELF STORAGE INC,0
LKQX,LKQ,89866,L K Q CORP,1
LKS,LUCKY STORES INC,40053,LUCKY STORES INC,0
LKSD,LSC COMMNS,16278,L S C COMMUNICATIONS INC,1
LKST,LEUKOSITE INC,85300,LEUKOSITE INC,0
LL,LL FLOORING HLDG,92400,LUMBER LIQUIDATORS HOLDINGS INC,1
LLB,COMPUTRAC INC,69307,COMPUTRAC INC,0
LLC,VALHI,45225,VALHI INC NEW,0
LLEC,LONG LAKE ENERGY,10166,LONG LAKE ENERGY CORP,0
LLFH,L & L ENERGY,93265,L & L ENERGY INC,0
LLIC,CAPITOL STR CORP,48507,CAPITAL STREET CORP,2
LLL,L3,86021,L 3 TECHNOLOGIES INC,1
LLNW,EDGIO,92097,EDGIO INC,0
LLOE,LA. LD OFFSHORE,50172,LOUISIANA LAND OFFSHORE EXPL INC,1
LLOG,LINCOLN LOGS LTD,89616,LINCOLN LOGS LTD,2
LLSI,LSI CORP,48267,L S I LOGIC CORP,1
LLSL,LAKELAND 1ST FIN,10983,LAKELAND FIRST FINANCIAL GRP INC,0
LLTC,LINEAR TECH,10299,LINEAR TECHNOLOGY CORP,0
LLTI,VERIFYME,19494,VERIFYME INC,2
LLTP,OPIANT,16904,OPIANT PHARMACEUTICALS INC,0
LLX,LA LAND & EXPL,33814,LOUISIANA LAND & EXPLORATION CO,1
LLY,LILLY,50876,LILLY ELI & CO,0
LM,LEGG MASON,65330,LEGG MASON INC,0
LMAN,LIVE ENTERTAINMT,89608,LIVE ENTERTAINMENT INC,0
LMAT,LEMAITRE,91503,LEMAITRE VASCULAR INC,0
LMBH,LIMBACH HLDG,14877,LIMBACH HOLDINGS INC,0
LMC,CAPSTEAD MOTGAGE,68021,CAPSTEAD MORTGAGE CORP,0
LMCA,LIBERTY MEDIA,13757,LIBERTY MEDIA CORP 3RD NEW,0
LMCA/1,LIBERTY MEDIA,14811,LIBERTY MEDIA CORP 3RD NEW,0
LMCA/2,LIBERTY MEDIA,24084,LIBERTY MEDIA CORP 3RD NEW,0
LMCA/3,ATLANTA BRAVES,15998,LIBERTY MEDIA CORP 3RD NEW,1
LMCA/4,LIBERTY MEDIA,24085,LIBERTY MEDIA CORP 3RD NEW,0
LMCA/5,LIBERTY MEDIA,15996,LIBERTY MEDIA CORP 3RD NEW,0
LMCA/5,LIBERTY MEDIA,24022,ATLANTA BRAVES HOLDINGS INC,1
LMCA/7,LIBERTY MEDIA,15997,LIBERTY MEDIA CORP 3RD NEW,0
LMCA/7,LIBERTY MEDIA,24023,ATLANTA BRAVES HOLDINGS INC,1
LMCA/8,ATLANTA BRAVES,15999,LIBERTY MEDIA CORP 3RD NEW,1
LMCA/9,ATLANTA BRAVES,16000,LIBERTY MEDIA CORP 3RD NEW,1
LMCC,LUNDIN MINING,91580,LUNDIN MINING CORP,0
LMDI,LIBERTY MEDIA CO,13010,LIBERTY MEDIA CORP 2ND NEW,0
LMDI,LIBERTY MEDIA CO,93138,LIBERTY MEDIA CORP NEW,0
LMDI,LIBERTY ENTERTAI,92590,LIBERTY MEDIA CORP NEW,1
LMED,LYPHOMED INC,50359,LYPHOMED INC,0
LMET,LASER MED TECH,78071,LASER MEDICAL TECHNOLOGY INC,0
LMFA,LM FUNDING,15902,L M FUNDING AMERICA INC,0
LMIA,LMI AEROSPACE,86178,L M I AEROSPACE INC,0
LMII,LIBERTY GLOBAL,90227,LIBERTY GLOBAL LTD,0
LMII/2,LIBERTY GLOBAL,90866,LIBERTY GLOBAL LTD,0
LMII/3,LIBERTY GLOBAL,15403,LIBERTY GLOBAL PLC,0
LMII/4,LIBERTY GLOBAL,15402,LIBERTY GLOBAL PLC,0
LMIN,LASTMINUTE.COM,87788,LASTMINUTE COM PLC,0
LMK,LIFEMARK CP,53807,LIFEMARK CORP,0
LML,LANDMARK LAND,33646,LANDMARK LAND INC,0
LMLP,LML PAYMENT SYST,77733,L M L PAYMENT SYSTEMS INC,0
LMM,LASER MORTG MGMT,85614,LASER MORTGAGE MANAGEMENT INC,0
LMND,LEMONADE,19497,LEMONADE INC,0
LMNE,LUMINENT,88804,LUMINENT INC,0
LMNL,LIMINAL BIOSCIEN,19074,LIMINAL BIOSCIENCES INC,0
LMNR,LIMONEIRA,93397,LIMONEIRA CO,0
LMNS,LUMENIS,14463,LUMENIS LTD,0
LMNT,LUMINENT MORTGAG,89962,LUMINENT MORTGAGE CAPITAL INC,0
LMNX,LUMINEX,87789,LUMINEX CORP,0
LMOS,LUMOS NETWORKS,13041,LUMOS NETWORKS CORP,0
LMPX,LMP AUTOM HLDG,19139,LMP AUTOMOTIVE HOLDINGS INC,1
LMR,LAMAUR INC,40766,LAMAUR INC,2
LMR1,LANDMARK GRAPHIC,12048,LANDMARK GRAPHICS CORP,0
LMRA,LUMERA CORP,90283,LUMERA CORP,0
LMRK,LANDMARK SVGS AS,69016,LANDMARK SAVINGS ASSN PITTSBURGH,0
LMS,LAMSON & SESSION,33603,LAMSON & SESSIONS CO,0
LMSM,LMS MEDICAL SYST,90559,L M S MEDICAL SYSTEMS INC,0
LMTI,LASER MASTER,48814,LASER MASTER INTL INC,2
LMTR,LITHIA MOTORS,84319,LITHIA MOTORS INC,0
LMTS,VIRTUALFUND.COM,76236,VIRTUALFUND COM INC,0
LN,LINE,16155,LINE CORP,0
LNBB,LNB BANCORP,87652,L N B BANCORP INC,0
LNBC,LBTY NATL BCP KY,49403,LIBERTY NATIONAL BANCORP INC,1
LNBK,LANE FINL INC,10920,LANE FINANCIAL INC,2
LNC,LNC,49015,LINCOLN NATIONAL CORP,1
LNCB,LINCOLN BANCORP,86529,LINCOLN BANCORP IND,0
LNCC,LINC CAPITAL INC,85562,LINC CAPITAL INC,0
LNCE,SNYDERS-LANCE IN,48531,SNYDERS LANCE INC,0
LNCO,LINNCO LLC,13647,LINNCO L L C,0
LNCR,LINCARE HLDGS IN,77421,LINCARE HOLDINGS INC,0
LNCT,LANCIT MEDIA ENT,76859,LANCIT MEDIA PRODUCTIONS LTD,0
LNDC,LIFECORE,83148,LANDEC CORP,1
LNDL,LINDAL CEDAR HMS,49737,LINDAL CEDAR HOMES INC,0
LNER,LINEAR FILMS INC,89624,LINEAR FILMS INC,0
LNET,LODGENET INTERAC,79712,LODGENET ENTERTAINMENT CORP,0
LNF,LOMAS FINL CP,54551,LOMAS FINANCIAL CORP,0
LNF,SIENA HOLDINGS,91972,LOMAS FINANCIAL CORP NEW,1
LNGG,ROAN RESOURCES,18246,ROAN RESOURCES INC,2
LNKB,LINKBANCORP,23416,LINKBANCORP INC,0
LNKD,LINKEDIN CORP,12742,LINKEDIN CORP,0
LNLN,LONDON HOUSE INC,50033,LONDON HOUSE INC,0
LNOP,EZCHIP SEMICONDU,78168,EZCHIP SEMICONDUCTOR LTD,0
LNR,LNR PPTY CORP,85431,L N R PROPERTY CORP,0
LNREF,LONESTAR RSRCS,16174,LONESTAR RESOURCES US INC,0
LNSB,LINCOLN SB PA,10106,LINCOLN SAVINGS BANK CARNEGIE PA,1
LNSR,LENSAR,19680,LENSAR INC,0
LNTE,LANTE CORP,87616,LANTE CORP,0
LNTH,LANTHEUS HLDG,15429,LANTHEUS HOLDINGS INC,0
LNTL,LANE TELECOMMS,48662,LANE TELECOMMUNICATIONS INC,0
LNTV,LIN MEDIA,14029,LIN MEDIA LLC,0
LNTV,LIN TELEVISION,81161,LIN TELEVISION CORP,0
LNTV,LIN TV CORP.,89407,LIN TV CORP,0
LNTY,MAXWORLDWIDE,87563,MAXWORLDWIDE INC,0
LNUX,GEEKNET INC,87498,GEEKNET INC,0
LNV,LINCOLN NATIONAL,69518,LINCOLN NATIONAL CONV SECS FD IN,0
LNX,LENOX INC,40109,LENOX INC,0
LNZA,LANZATECH GLOBAL,21909,LANZATECH GLOBAL INC,0
LO,LOCAL FINL CORP,85948,LOCAL FINANCIAL CORP,0
LOAR,LOAR HLDG,24971,LOAR HOLDINGS INC,0
LOB,LIVE OAK,15527,LIVE OAK BANCSHARES INC,0
LOBO,LOBO EV TECH,24953,LOBO EV TECHNOLOGIES LTD,0
LOC,LOCTITE CP,59352,LOCTITE CORP,0
LOCL,LOCAL FED S & L,49921,LOCAL FEDERAL SVGS & LN ASSN OK,1
LOCO,EL POLLO LOCO,14812,EL POLLO LOCO HOLDINGS INC,0
LODE,COMSTOCK BANCORP,78979,COMSTOCK BANCORP,0
LODG,SHOLODGE INC,77334,SHOLODGE INC,0
LOEH,LOEHMANNS,83524,LOEHMANNS INC NEW,0
LOEW,WINSLOEW FURNITU,79605,WINSLOEW FURNITURE INC,0
LOF,AEROQUIP-VICKERS,18147,AEROQUIP VICKERS INC,0
LOFS,FRONTLINE,79844,FRONTLINE LTD,0
LOFS,FRONTLINE,89139,FRONTLINE PLC,0
LOG,RAYONIER TIMBERL,68662,RAYONIER TIMBERLANDS L P,0
LOGC,LOGIC DEVICES,12214,LOGIC DEVICES INC,0
LOGE,LOGETRONICS INC,49964,LOGETRONICS INC,0
LOGI,LOGITECH INTERNA,19673,LOGITECH INTERNATIONAL SA,0
LOGI,LOGITECH INTL,84621,LOGITECH INTERNATIONAL SA,0
LOGL,SIMPLAYER.COM LT,83285,SIMPLAYER COM LTD,0
LOGM,LOGMEIN INC,92984,LOGMEIN INC,0
LOGN,LOGANSPORT FINL,81718,LOGANSPORT FINANCIAL CORP,0
LOH,LOEHMANNS INC,41101,LOEHMANNS INC,0
LOHO,RARE HOSPITALITY,77448,RARE HOSPITALITY INTL INC,0
LOIS,LOISLAW.COM,87243,LOISLAW COM INC,0
LOJN,LOJACK CP,89659,LO JACK CORP,0
LOM,FIRST ACCEP,54578,FIRST ACCEPTANCE CORP,0
LOMA,LOMA NEGRA CIASA,17092,LOMA NEGRA CORP,0
LOMK,RANGE RESOURCE,50017,RANGE RESOURCES CORP,0
LONF,LONDON FINL CP,83394,LONDON FINANCIAL CORP,0
LONG,ELONG,90415,ELONG INC,0
LOOK,LOOKSMART LTD,87173,LOOKSMART LTD,0
LOOM,LOOMIS CP,50105,LOOMIS CORP,0
LOOP,LOOPNET,91358,LOOPNET INC,0
LOPE,GRAND CANYON EDU,92852,GRAND CANYON EDUCATION INC,0
LOR,LORAL CP,33785,LORAL CORP,0
LORX,LORONIX INFO SYS,80827,LORONIX INFORMATION SYSTEMS INC,0
LOT,LOTUS TECHNOLOGY,24868,LOTUS TECHNOLOGY INC,0
LOTO,GLOBAL E-PNT INC,79283,GLOBAL E POINT INC,0
LOTS,LOTUS DEV CORP,50156,LOTUS DEVELOPMENT CORP,0
LOTZ,CARLOTZ,18546,CARLOTZ INC,0
LOU,LG & E ENERGY CP,23827,L G & E ENERGY CORP,0
LOUD,LOUDEYE CORP,87790,LOUDEYE CORP,0
LOV,SPARK NETWORKS,91120,SPARK NETWORKS PLC,0
LOV,SPARK NETWORKS,92185,SPARK NETWORKS INC,0
LOVE,LOVESAC,17891,LOVESAC CO,0
LOW,LOWE'S,61399,LOWES COMPANIES INC,1
LOXO,LOXO ONCOLOGY,14871,LOXO ONCOLOGY INC,0
LOYC,LOYOLA CAP CP MD,10941,LOYOLA CAPITAL CORP,1
LPAC,LASER-PACIFIC,76791,LASER PACIFIC MEDIA CORP,0
LPAI,LA PETITE ACAD,48312,LA PETITE ACADEMY INC,0
LPCN,LIPOCINE,14545,LIPOCINE INC,0
LPDX,LIPOSCIENCE INC,13759,LIPOSCIENCE INC,0
LPEP,LE PEEP RESTAURA,10626,LE PEEP RESTAURANTS INC,0
LPG,PETROLANE PARTNE,72442,PETROLANE PARTNERS L P,0
LPG1,LIFE PARTNERS GR,79061,LIFE PARTNERS GROUP INC,0
LPHI,LIFE PARTNERS HO,89888,LIFE PARTNERS HOLDINGS INC,0
LPIH,LONGWEI PETROLEU,11993,LONGWEI PETROLEUM INVT HLDG LTD,0
LPLA,LPL HLDG,12400,L P L FINANCIAL HOLDINGS INC,1
LPLI,LPL TECHNOLOGIES,75231,L P L TECHNOLOGIES INC,2
LPLL,LG DISPLAY,90266,L G PHILIPS L C D CO LTD,1
LPMA,LIPMAN ELECT.,90010,LIPMAN ELECTRONIC ENGINEERING LT,0
LPNT,LIFEPOINT HEALTH,86899,LIFEPOINT HOSPITALS INC,1
LPO,BRANDYWINE,70121,BRANDYWINE REALTY TRUST,0
LPP,LEAR PETE PARTNE,67301,LEAR PETROLEUM PARTNERS L P,0
LPRZ,LONE PINE RESOUR,12743,LONE PINE RESOURCES INC,0
LPSB,LAPORTE BANCORP,92308,LAPORTE BANCORP INC MD,0
LPSN,LIVEPERSON,88174,LIVEPERSON INC,0
LPSW,LENDER PROCESSIN,92697,LENDER PROCESSING SERVICES INC,0
LPT,LEAR PETE CORP,61380,LEAR PETROLEUM CORP,0
LPTH,LIGHTPTH TECH,83149,LIGHTPATH TECHNOLOGIES INC,0
LPTN,APOLLO ENDO,13648,APOLLO ENDOSURGERY INC,0
LPTV,LOOP MEDIA,23380,LOOP MEDIA INC,0
LPTX,LEAP,16542,LEAP THERAPEUTICS INC,0
LPWR,LASER POWER CORP,85021,LASER POWER CORP,0
LPX,LOUISIANA-PACIFC,56223,LOUISIANA PACIFIC CORP,0
LQ,LAURENTIAN CAP,66624,LAURENTIAN CAPITAL CORP,0
LQ1,QUINENCO,85074,QUINENCO S A,0
LQDA,LIQUIDIA,17968,LIQUIDIA TECHNOLOGIES INC,0
LQDT,LIQUIDITY SERVS,91095,LIQUIDITY SERVICES INC,0
LQID,LIQUID AUDIO INC,87076,LIQUID AUDIO INC,0
LQM,LA QUINTA INNS,58624,LA QUINTA MOTOR INNS INC,1
LQMD,CHINA INSONLINE,77865,CHINA INSONLINE CORP,0
LQMT,LIQUIDMETAL,89391,LIQUIDMETAL TECHNOLOGIES,0
LQP,LA QUINTA MTR LP,70789,LA QUINTA MTR INNS LTD PRTNR,2
LQR,LQR HOUSE,24095,LQR HOUSE INC,0
LQU,QUILMES (QUINSA),90328,QUILMES INDUSTRIAL QUINSA S A,1
LR,LANIER WORLD,87440,LANIER WORLDWIDE INC,0
LRC,LONDON INTL GRP,76471,LONDON INTERNATIONAL GRP PLC,1
LRCI,LEGAL RESEARCH C,82188,LEGAL RESEARCH CENTER INC,0
LRCX,LAM RESEARCH,48486,LAM RESH CORP,1
LRE,LIFE RE CORP,78039,LIFE RE CORP,0
LRF,LINCOLN N C RLTY,68515,LINCOLN N C RLTY FD INC,0
LRI,LEARONAL,50462,LEARONAL INC,0
LRM,LORIMAR,66237,LORIMAR,0
LRMK,OMNIQ,21950,OMNIQ CORP,2
LRN,STRIDE,92493,STRIDE INC,0
LRNG,LEARNING CO,77538,LEARNING CO,0
LRNS,EXCELLIGENCE LEA,88978,EXCELLIGENCE LEARNING CORP,0
LRP,APTOSE BIO,77569,APTOSE BIOSCIENCES INC,0
LRR,LRR ENERGY LP,13083,L R R ENERGY L P,0
LRSI,LASER RECORDING,76378,LASER RECORDING SYSTEMS INC,0
LRT,LL & E ROYALTY T,65648,L L & E ROYALTY TRUST,0
LRY,LIBERTY PROP TST,80691,LIBERTY PROPERTY TRUST,0
LSB,LSB INDUSTRIES,49488,L S B INDUSTRIES INC,0
LSBC,LARGE SCALE BIO,88540,LARGE SCALE BIOLOGY CORP,0
LSBI,LSB FINANCIAL CP,81259,L S B FINANCIAL CORP,0
LSBK,LAKE SHORE,91176,LAKE SHORE BANCORP INC,0
LSBX,LSB CORP,10205,L S B CORP,0
LSC,SHOPCO LAUREL CE,75095,SHOPCO LAUREL CENTRE L P,0
LSCC,LATTICE US,75854,LATTICE SEMICONDUCTOR CORP,0
LSCO,LESCO INC,49227,LESCO INC OHIO,0
LSCP,LASERSCOPE,75866,LASERSCOPE,0
LSDI,LUCY SCIENTIFIC,23729,LUCY SCIENTIFIC DISCOVERY INC,0
